[2023-11-06 19-49-17] Computations (cuda)
===================== -------------------
Data                : "imagenet"
Model               : "mobilenet"
Model attr.         : "alexnet"
Task                : "attack"
Kind of task        : "attr"
Opt. scale          : 15
Opt. dimension      : 2000
Opt. mode size      : 3
Opt. budget         : 10000
Opt. batch size     : 100
Opt. k-top          : 10
Opt. gd iters       : 100
Opt. learn. rate    : 0.01
Opt. TT-rank        : 5
=========================================


.... Loading "imagenet" dataset
DONE (     0.01 sec.) 


.... Loading "mobilenet" model
DONE (     3.15 sec.) 


.... Loading "alexnet" model
--> #    9 | c        9 | y     9.0e-01 | y_next 2.4e-03

protes > m 1.0e+02 | t 5.130e+00 | y  8.8086e-01
protes > m 2.0e+02 | t 7.807e+00 | y  8.6636e-01
protes > m 3.0e+02 | t 1.050e+01 | y  8.5625e-01
protes > m 4.0e+02 | t 1.317e+01 | y  8.4913e-01
protes > m 5.0e+02 | t 1.586e+01 | y  8.4371e-01
protes > m 6.0e+02 | t 1.854e+01 | y  8.4051e-01
protes > m 7.0e+02 | t 2.122e+01 | y  8.3266e-01
protes > m 8.0e+02 | t 2.391e+01 | y  8.3124e-01
protes > m 9.0e+02 | t 2.660e+01 | y  8.2819e-01
protes > m 1.0e+03 | t 2.927e+01 | y  8.2583e-01
protes > m 1.1e+03 | t 3.196e+01 | y  8.1628e-01
protes > m 1.2e+03 | t 3.464e+01 | y  8.1521e-01
protes > m 1.4e+03 | t 4.001e+01 | y  8.1353e-01
protes > m 1.5e+03 | t 4.269e+01 | y  8.1125e-01
protes > m 1.6e+03 | t 4.537e+01 | y  8.0917e-01
protes > m 1.8e+03 | t 5.073e+01 | y  8.0708e-01
protes > m 1.9e+03 | t 5.342e+01 | y  8.0470e-01
protes > m 2.1e+03 | t 5.878e+01 | y  8.0176e-01
protes > m 2.2e+03 | t 6.146e+01 | y  7.9921e-01
protes > m 2.3e+03 | t 6.415e+01 | y  7.9857e-01
protes > m 2.4e+03 | t 6.683e+01 | y  7.9764e-01
protes > m 2.5e+03 | t 6.951e+01 | y  7.9306e-01
protes > m 2.6e+03 | t 7.219e+01 | y  7.9194e-01
protes > m 2.9e+03 | t 8.021e+01 | y  7.8648e-01
protes > m 3.2e+03 | t 8.827e+01 | y  7.8629e-01
protes > m 3.4e+03 | t 9.365e+01 | y  7.8436e-01
protes > m 3.6e+03 | t 9.903e+01 | y  7.8076e-01
protes > m 3.9e+03 | t 1.071e+02 | y  7.7451e-01
protes > m 4.0e+03 | t 1.098e+02 | y  7.7114e-01
protes > m 4.4e+03 | t 1.205e+02 | y  7.6106e-01
protes > m 4.8e+03 | t 1.313e+02 | y  7.5967e-01
protes > m 5.5e+03 | t 1.501e+02 | y  7.5434e-01
protes > m 5.6e+03 | t 1.528e+02 | y  7.5371e-01
protes > m 5.7e+03 | t 1.555e+02 | y  7.5366e-01
protes > m 5.8e+03 | t 1.582e+02 | y  7.5060e-01
protes > m 5.9e+03 | t 1.609e+02 | y  7.5012e-01
protes > m 6.0e+03 | t 1.636e+02 | y  7.4565e-01
protes > m 6.2e+03 | t 1.689e+02 | y  7.4479e-01
protes > m 6.3e+03 | t 1.716e+02 | y  7.3861e-01
protes > m 7.1e+03 | t 1.931e+02 | y  7.3787e-01
protes > m 7.2e+03 | t 1.958e+02 | y  7.3700e-01
protes > m 7.3e+03 | t 1.985e+02 | y  7.3333e-01
protes > m 7.5e+03 | t 2.039e+02 | y  7.3001e-01
protes > m 7.7e+03 | t 2.092e+02 | y  7.2723e-01
protes > m 7.9e+03 | t 2.146e+02 | y  7.2664e-01
protes > m 8.0e+03 | t 2.173e+02 | y  7.2479e-01
protes > m 8.1e+03 | t 2.200e+02 | y  7.2187e-01
protes > m 8.2e+03 | t 2.227e+02 | y  7.2087e-01
protes > m 8.8e+03 | t 2.388e+02 | y  7.1459e-01
protes > m 9.2e+03 | t 2.495e+02 | y  7.1385e-01
protes > m 9.4e+03 | t 2.549e+02 | y  7.1027e-01
protes > m 1.0e+04 | t 2.693e+02 | y  7.0345e-01 <<< DONE

    > fail | evals 10000

--> #   10 | c       10 | y     3.3e-01 | y_next 1.5e-01


+++ >        c_new   11 | y_new 2.0e-01 | y_old 1.6e-01 | evals     1
    : changes  1299 | dx1 2.1e+02 | dx2 6.9e+00
    : l_old : brambling, fringilla montifringilla
    : l_new : goldfinch, carduelis carduelis


--> #   11 | c       11 | y     7.6e-01 | y_next 2.0e-03

